cbsa,cbsa_code,date,aqi,category,defining_parameter,defining_site,number_of_sites_reporting,year,month,day,aqi_category
"Aberdeen, SD",10100,2025-01-01,38,Good,PM2.5,46-013-0004,1,2025,1,1,Good
"Aberdeen, SD",10100,2025-01-02,32,Good,PM2.5,46-013-0004,1,2025,1,2,Good
"Aberdeen, SD",10100,2025-01-03,28,Good,PM2.5,46-013-0004,1,2025,1,3,Good
"Aberdeen, SD",10100,2025-01-04,39,Good,PM2.5,46-013-0004,1,2025,1,4,Good
"Aberdeen, SD",10100,2025-01-05,25,Good,PM2.5,46-013-0004,1,2025,1,5,Good
"Aberdeen, SD",10100,2025-01-06,25,Good,PM2.5,46-013-0004,1,2025,1,6,Good
"Aberdeen, SD",10100,2025-01-07,30,Good,PM2.5,46-013-0004,1,2025,1,7,Good
"Aberdeen, SD",10100,2025-01-08,41,Good,PM2.5,46-013-0004,1,2025,1,8,Good
"Aberdeen, SD",10100,2025-01-09,26,Good,PM2.5,46-013-0004,1,2025,1,9,Good
"Aberdeen, SD",10100,2025-01-10,25,Good,PM2.5,46-013-0004,1,2025,1,10,Good
"Aberdeen, SD",10100,2025-01-11,32,Good,PM2.5,46-013-0004,1,2025,1,11,Good
"Aberdeen, SD",10100,2025-01-12,23,Good,PM2.5,46-013-0004,1,2025,1,12,Good
"Aberdeen, SD",10100,2025-01-13,6,Good,PM10,46-013-0004,1,2025,1,13,Good
"Aberdeen, SD",10100,2025-01-14,29,Good,PM2.5,46-013-0004,1,2025,1,14,Good
"Aberdeen, SD",10100,2025-01-15,23,Good,PM2.5,46-013-0004,1,2025,1,15,Good
"Aberdeen, SD",10100,2025-01-16,11,Good,PM2.5,46-013-0004,1,2025,1,16,Good
"Aberdeen, SD",10100,2025-01-17,18,Good,PM2.5,46-013-0004,1,2025,1,17,Good
"Aberdeen, SD",10100,2025-01-18,22,Good,PM2.5,46-013-0004,1,2025,1,18,Good
"Aberdeen, SD",10100,2025-01-19,27,Good,PM2.5,46-013-0004,1,2025,1,19,Good
"Aberdeen, SD",10100,2025-01-20,6,Good,PM10,46-013-0004,1,2025,1,20,Good
"Aberdeen, SD",10100,2025-01-21,28,Good,PM2.5,46-013-0004,1,2025,1,21,Good
"Aberdeen, SD",10100,2025-01-22,28,Good,PM2.5,46-013-0004,1,2025,1,22,Good
"Aberdeen, SD",10100,2025-01-23,30,Good,PM2.5,46-013-0004,1,2025,1,23,Good
"Aberdeen, SD",10100,2025-01-24,21,Good,PM2.5,46-013-0004,1,2025,1,24,Good
"Aberdeen, SD",10100,2025-01-25,21,Good,PM2.5,46-013-0004,1,2025,1,25,Good
"Aberdeen, SD",10100,2025-01-26,24,Good,PM2.5,46-013-0004,1,2025,1,26,Good
"Aberdeen, SD",10100,2025-01-27,11,Good,PM2.5,46-013-0004,1,2025,1,27,Good
"Aberdeen, SD",10100,2025-01-28,8,Good,PM10,46-013-0004,1,2025,1,28,Good
"Aberdeen, SD",10100,2025-01-29,12,Good,PM2.5,46-013-0004,1,2025,1,29,Good
"Aberdeen, SD",10100,2025-01-30,27,Good,PM2.5,46-013-0004,1,2025,1,30,Good
"Aberdeen, SD",10100,2025-01-31,38,Good,PM2.5,46-013-0004,1,2025,1,31,Good
"Aberdeen, SD",10100,2025-02-01,31,Good,PM2.5,46-013-0004,1,2025,2,1,Good
"Aberdeen, SD",10100,2025-02-02,27,Good,PM2.5,46-013-0004,1,2025,2,2,Good
"Aberdeen, SD",10100,2025-02-03,26,Good,PM2.5,46-013-0004,1,2025,2,3,Good
"Aberdeen, SD",10100,2025-02-04,32,Good,PM2.5,46-013-0004,1,2025,2,4,Good
"Aberdeen, SD",10100,2025-02-05,44,Good,PM2.5,46-013-0004,1,2025,2,5,Good
"Aberdeen, SD",10100,2025-02-06,36,Good,PM2.5,46-013-0004,1,2025,2,6,Good
"Aberdeen, SD",10100,2025-02-07,29,Good,PM2.5,46-013-0004,1,2025,2,7,Good
"Aberdeen, SD",10100,2025-02-08,44,Good,PM2.5,46-013-0004,1,2025,2,8,Good
"Aberdeen, SD",10100,2025-02-09,54,Moderate,PM2.5,46-013-0004,1,2025,2,9,Moderate
"Aberdeen, SD",10100,2025-02-10,46,Good,PM2.5,46-013-0004,1,2025,2,10,Good
"Aberdeen, SD",10100,2025-02-11,51,Moderate,PM2.5,46-013-0004,1,2025,2,11,Moderate
